place_id,title,address,maps_url,review_url,street,categories,services,labels,phone,review_count,rating,latitude,longitude,website,claimed,opening_hours,menu_link,booking_link,table_order_link,latest_post,municipality
"ChIJv6OLrFMPGTkRtHi9BjcidRo","RoyalAuto.PK Auto Workshop","Main Defence Road, near Railway Phatak, Jalal Colony Harbanspura, 53000, Pakistan","https://www.google.com/maps?cid=1906467636992899252","https://search.google.com/local/reviews?placeid=ChIJv6OLrFMPGTkRtHi9BjcidRo&q=auto+repair+shop+lahore&authuser=0&hl=en","Main Defence Road, near Railway Phatak","Auto repair shop","Onsite services","Service options: Onsite services; Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating; Amenities: Gender-neutral restroom, Mechanic, Restroom; Payments: Credit cards, Debit cards, NFC mobile payments; Parking: On-site parking","03041115718",247,4.2,31.567128699999998,74.430292,,"TRUE","Tuesday: 9 AM–8 PM, Wednesday: 9 AM–8 PM, Thursday: 9 AM–8 PM, Friday: 9 AM–8 PM, Saturday: 9 AM–8 PM, Sunday: Closed, Monday: 9 AM–8 PM",,,,,"Jalal Colony Harbanspura"
"ChIJTfsu-KIRGTkRQ91iozCSAL4","Waqas Auto Workshop","bari janazgha, Main, near Salamat Pura Road, Canal Bank Housing Scheme, Lahore, Pakistan","https://www.google.com/maps?cid=13691103604803558723","https://search.google.com/local/reviews?placeid=ChIJTfsu-KIRGTkRQ91iozCSAL4&q=auto+repair+shop+lahore&authuser=0&hl=en","bari janazgha, Main, near Salamat Pura Road","Auto repair shop",,"Amenities: Mechanic","03070431152",11,4.2,31.5781016,74.4139739,,"TRUE","Tuesday: 9 AM–9 PM, Wednesday: 9 AM–9 PM, Thursday: 9 AM–9 PM, Friday: 9 AM–9 PM, Saturday: 9 AM–9 PM, Sunday: 9 AM–9 PM, Monday: 9 AM–9 PM",,,,,"Godianwala Canal Bank Housing Scheme"
"ChIJP_8Wv_URGTkRI8vpJBjE2Vk","Al Aziz Car Restoration & Workshop","Public School, 97-A khuram block, taj chowk, near Lahore Cantt, Canal Bank Housing Scheme, Lahore, 54000, Pakistan","https://www.google.com/maps?cid=6474421547299359523","https://search.google.com/local/reviews?placeid=ChIJP_8Wv_URGTkRI8vpJBjE2Vk&q=auto+repair+shop+lahore&authuser=0&hl=en","Public School, 97-A khuram block, taj chowk, near Lahore Cantt","Mechanic",,"","03214619299",5,4.8,31.5731869,74.4142262,,"TRUE","Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours, Monday: Open 24 hours",,,,,"Canal Bank Housing Scheme"
"ChIJVYgPzAYQGTkRAvBjWaKRvrg","Mehar Auto","HCG5+RQV, Unnamed Road, Shalimar Housing Scheme, Lahore, Pakistan","https://www.google.com/maps?cid=13312237675024216066","https://search.google.com/local/reviews?placeid=ChIJVYgPzAYQGTkRAvBjWaKRvrg&q=auto+repair+shop+lahore&authuser=0&hl=en","HCG5+RQV, Unnamed Road","Auto repair shop",,"Amenities: Mechanic","03004798886",44,4.7,31.577101799999998,74.4094204,,"FALSE","Tuesday: 9:30 AM–8 PM, Wednesday: 9:30 AM–8 PM, Thursday: 9:30 AM–8 PM, Friday: 9:30 AM–8 PM, Saturday: 9:30 AM–8 PM, Sunday: 10 AM–6 PM, Monday: 9:30 AM–8 PM",,,,,"Shalimar Housing Scheme"
"ChIJCzYqMg8QGTkRHZiKz1f-Qdo","Hamza Auto Workshop","Sue Wala Rd, Shalimar Housing Scheme Lahore, 54000, Pakistan","https://www.google.com/maps?cid=15727131026852059165","https://search.google.com/local/reviews?placeid=ChIJCzYqMg8QGTkRHZiKz1f-Qdo&q=auto+repair+shop+lahore&authuser=0&hl=en","Sue Wala Rd","Car repair and maintenance service",,"","03094604612",77,4.3,31.5845754,74.4118872,,"TRUE","Tuesday: 8 AM–10 PM, Wednesday: 8 AM–10 PM, Thursday: 8 AM–10 PM, Friday: 8 AM–10 PM, Saturday: 8 AM–10 PM, Sunday: 9 AM–10 PM, Monday: 8 AM–10 PM",,,,,"Shalimar Housing Scheme"
"ChIJ44ncCI0RGTkR8RBKfE_My74","S-F Auto key","HCGF+GG5, Harbanspura Rd, Harbanspura, Lahore, 54000, Pakistan","https://www.google.com/maps?cid=13748306929238282481","https://search.google.com/local/reviews?placeid=ChIJ44ncCI0RGTkR8RBKfE_My74&q=auto+repair+shop+lahore&authuser=0&hl=en","HCGF+GG5, Harbanspura Rd","Auto repair shop",,"Amenities: Mechanic; Planning: Appointment required","03228022858",1,5,31.576254499999997,74.4238479,,"FALSE","Tuesday: 10 AM–8 PM, Wednesday: 10 AM–8 PM, Thursday: 10 AM–8 PM, Friday: 10 AM–8 PM, Saturday: 10 AM–8 PM, Sunday: Closed, Monday: 10 AM–8 PM",,,,,"Harbanspura"
"ChIJASQEXQAPGTkRnev9MOCjuFw","Syed auto","HCCF+427, Canal Rd, Harbanspura, Lahore, Pakistan","https://www.google.com/maps?cid=6681270230494079901","https://search.google.com/local/reviews?placeid=ChIJASQEXQAPGTkRnev9MOCjuFw&q=auto+repair+shop+lahore&authuser=0&hl=en","HCCF+427, Canal Rd","Auto repair shop",,"Amenities: Mechanic","03210125555",7,4.9,31.570294299999997,74.4225355,,"FALSE","Tuesday: 9 AM–5 PM, Wednesday: 9 AM–5 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–5 PM, Saturday: 9 AM–5 PM, Sunday: Closed, Monday: 9 AM–5 PM",,,,,"Harbanspura"
"ChIJH8AfIgAPGTkRxK7sEeh6Kqc","الحق آٹو سپیئر پارٹس","244 Jehangir Rd, Harbanspura, Lahore, 54000, Pakistan","https://www.google.com/maps?cid=12045575290507538116","https://search.google.com/local/reviews?placeid=ChIJH8AfIgAPGTkRxK7sEeh6Kqc&q=auto+repair+shop+lahore&authuser=0&hl=en","244 Jehangir Rd","Auto repair shop",,"Amenities: Mechanic",,1,5,31.5738643,74.42689949999999,,"FALSE","Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours, Monday: Open 24 hours",,,,,"Harbanspura"
"ChIJbw52ljwRGTkRRzo2TLBKc9o","N M Auto Workshop","HCG7+9H7, Canal Rd, Fateh Garh Fatehgarh, Lahore, 54000, Pakistan","https://www.google.com/maps?cid=15741007243643337287","https://search.google.com/local/reviews?placeid=ChIJbw52ljwRGTkRRzo2TLBKc9o&q=auto+repair+shop+lahore&authuser=0&hl=en","HCG7+9H7, Canal Rd","Auto repair shop, Auto body shop",,"Amenities: Mechanic","03234738217",3,3,31.5759112,74.4139318,"http://24.51.193.37/","FALSE","Tuesday: 9 AM–9 PM, Wednesday: 9 AM–9 PM, Thursday: 9 AM–9 PM, Friday: 9 AM–9 PM, Saturday: 9 AM–9 PM, Sunday: Closed, Monday: 9 AM–9 PM",,,,,"Fateh Garh Fatehgarh"
"ChIJiwEAVP4EGTkReuK3qEeXYps","Modern Computerized Auto Workshop","Block N, 12-N Gurumangat Rd, near Ramada Hotel, Block N Gulberg 2, Lahore, Pakistan","https://www.google.com/maps?cid=11196677957625569914","https://search.google.com/local/reviews?placeid=ChIJiwEAVP4EGTkReuK3qEeXYps&q=auto+repair+shop+lahore&authuser=0&hl=en","Block N, 12-N Gurumangat Rd, near Ramada Hotel","Auto repair shop","Onsite services","Service options: Onsite services; Amenities: Mechanic, Restroom; Planning: Appointments recommended","04235755307",250,4.1,31.52318,74.35618,,"FALSE","Tuesday: 9 AM–7 PM, Wednesday: 9 AM–7 PM, Thursday: 9 AM–7 PM, Friday: 9 AM–7 PM, Saturday: 9 AM–7 PM, Sunday: Closed, Monday: 9 AM–7 PM",,,,,"Block N Gulberg 2"
